std_ID,etudiantID,nom,prenom,annee_actuelle
58,2015_690c,Tompkins,James,2015
59,2015_646a,Ebrahim,Albert,2015
60,2015_6798,Elliott,Eric,2015
61,2015_a568,Dodd,Victor,2015
62,2015_c17f,Salmon,Johnny,2015
63,2015_a66c,Jones,Lawanda,2015
64,2015_6455,Le,Robert,2015
65,2015_1dcc,Hamon,Peggy,2015
66,2015_e356,Flores,Mark,2015
67,2015_ebc0,Mccall,Agustin,2015
68,2015_6053,Carroll,Stephanie,2015
69,2015_ee7c,Sandau,Patricia,2015
70,2015_bd05,Shelvey,Francisca,2015
71,2015_ca18,Hopper,Robert,2015
72,2015_0b32,Kappel,Earl,2015
73,2015_a770,Labossiere,James,2015
74,2015_ae9f,Salaam,Anna,2015
75,2015_7aa0,Odonnell,Richard,2015
76,2015_f0fa,Martin,Shirley,2015
77,2015_9f01,Bessler,Charlotte,2015
78,2015_a5a6,Rapelyea,Lamar,2015
79,2015_b110,Livingston,Cordell,2015
80,2015_8696,Campbell,Wallace,2015
81,2015_b922,Googe,Sandra,2015
82,2015_db4b,Wilson,Blanca,2015
83,2015_46fe,Gordon,Harry,2015
84,2015_dd90,Tarvis,Phil,2015
85,2015_8563,Wilson,Versie,2015
86,2015_5b40,Hysom,Carolyn,2015
87,2015_3082,Simmons,Clarence,2015
88,2015_ae70,Toomey,Ronald,2015
89,2015_fb3d,Smith,Cheryl,2015
90,2015_b2b3,Coffman,Mike,2015
91,2015_d77e,Zimmerman,Amber,2015
92,2015_e899,Kraft,Gilberto,2015
93,2015_d4c1,Harry,Dawna,2015
94,2015_5c01,Cain,Bob,2015
95,2015_1489,Dilks,Bruce,2015
96,2015_9898,Mosier,Helene,2015
97,2015_5c38,Devoe,Curtis,2015
98,2015_def5,Rodriguez,Terry,2015
99,2015_9b2d,Fagan,Tom,2015
100,2015_2894,Fowler,Beatrice,2015
101,2015_61a2,Garner,Keith,2015
102,2015_d339,Delia,Lizzie,2015
103,2015_6a45,Byrd,Barbara,2015
104,2015_6b08,Lapage,Ryann,2015
105,2015_44d2,Jones,Ruby,2015
106,2015_c675,Sperling,Ruth,2015
107,2015_ed24,Ahrens,Kate,2015
108,2015_6d30,Shields,Freddie,2015
109,2015_8dc4,Washburn,Orlando,2015
110,2015_8e88,Valle,Ella,2015
111,2015_bc24,Zimmerman,Lillian,2015
112,2015_e2ba,Pendley,Mario,2015
113,2015_e129,Kosky,Lillian,2015
114,2015_669b,Bryant,Edward,2015
115,2015_6b3d,Kidd,Margret,2015
116,2015_9a28,Foster,Larry,2015
117,2015_5ba9,Mcqueen,Susan,2015
118,2015_5661,Frazier,Sean,2015
119,2015_b856,Derosa,May,2015
120,2015_022f,Banks,Michele,2015
121,2015_76f8,Hahn,Kathy,2015
122,2015_5c7d,Wade,Barry,2015
123,2015_f409,Vaughan,Laverna,2015
124,2015_bb7c,Hales,Jose,2015
125,2015_3b57,Geerdes,Ken,2015
126,2015_13ac,Sedotal,Jason,2015
127,2015_6723,Haley,Lynn,2015
128,2015_bba0,Evans,Sheryl,2015
129,2015_f0b2,Aldrich,Joseph,2015
130,2015_957b,Druck,Holly,2015
131,2015_3c60,Umana,William,2015
132,2015_9830,Harlin,Francis,2015
133,2015_7686,Krivanek,Cari,2015
134,2015_ea7d,Frank,Charlotte,2015
135,2015_c264,Hayhoe,Lawerence,2015
136,2015_8332,Johnson,Brenda,2015
137,2015_fa20,Lusby,Ronald,2015
138,2015_045c,Fulk,Betty,2015
139,2015_9694,Voigt,Gary,2015
140,2015_040e,Sellner,Penny,2015
141,2015_5824,Whetsel,Kristina,2015
142,2015_f743,Lermon,Roland,2015
143,2015_b32c,Johnson,Kerry,2015
144,2015_3cc4,Hagge,Terry,2015
145,2015_deb6,Plank,Marvin,2015
146,2015_bfb0,Day,Dawn,2015
147,2015_51eb,Ortega,Bernardo,2015
148,2015_052a,Quarles,Linda,2015
149,2015_ecbf,Harper,Gregory,2015
150,2015_01ec,Schein,Mary,2015
151,2015_f16a,Imler,Danny,2015
152,2015_f8eb,Few,Sylvia,2015
153,2015_d426,Nielson,Jesse,2015
154,2015_20ed,Edwards,Clifford,2015
155,2015_9182,Robison,Andrew,2015
156,2015_b824,Woods,Glenn,2015
157,2015_427e,Martins,Gilda,2015
158,2015_4d63,Mccarty,Sheila,2015
159,2015_9a8c,Connolly,Jose,2015
160,2015_3398,Shepherd,Audrey,2015
161,2015_0ae4,Despres,Albert,2015
162,2015_50cf,Cliff,David,2015
163,2015_76cc,Bates,Pearl,2015
164,2015_b80d,Nicolet,Robert,2015
165,2015_624e,Williams,Hubert,2015
166,2015_f4e3,Cousins,Berry,2015
167,2015_c8d7,Rossi,Marvin,2015
168,2015_1df5,Westover,Theresa,2015
169,2015_6768,Feller,Rachel,2015
170,2015_e1ef,Jackson,Darlene,2015
171,2015_32fb,David,Jason,2015
172,2015_3488,Martinez,Donovan,2015
173,2015_9343,Lees,Judith,2015
174,2015_b8b1,Lewis,Johnnie,2015
175,2015_5989,Horton,June,2015
176,2015_9069,Jemmott,Dorothy,2015
177,2015_a4e4,Howard,Abbie,2015
178,2015_50f3,Chavis,Kaitlin,2015
179,2015_c259,Hall,Wilbert,2015
180,2015_707e,Stewart,Sandra,2015
181,2015_1d58,Chaney,Carmen,2015
182,2015_d5db,Siegel,John,2015
183,2015_8069,Rodriguez,Michael,2015
184,2015_5c0a,Brookins,Guy,2015
185,2015_111f,Dashiell,Donald,2015
186,2015_2f4f,Phillips,Toi,2015
187,2015_74f0,Charles,Lillian,2015
188,2015_7722,Goss,Sheree,2015
189,2015_ece0,Hovermale,Frances,2015
190,2015_3d9a,Mccoy,Christopher,2015
191,2015_aef6,Miller,Emmanuel,2015
192,2015_a109,Allen,Gerald,2015
193,2015_da39,Klotz,June,2015
194,2015_77ce,Parra,Angela,2015
195,2016_de8a,Mingione,Michael,2016
196,2016_44d2,Shipley,Alice,2016
197,2016_a770,Vanriper,Desmond,2016
198,2016_5c0a,Haney,Felipe,2016
199,2016_7722,Darling,Debra,2016
200,2016_a5a6,Friedland,Austin,2016
201,2016_669b,Macgregor,Ofelia,2016
202,2016_e0fd,Bova,James,2016
203,2016_9316,Smith,Cassandra,2016
204,2016_d4c1,Owens,Susan,2016
205,2016_111f,Ertz,Tia,2016
206,2016_2c51,Sizemore,Glenda,2016
207,2016_ae9c,Anderson,Ivan,2016
208,2016_8dc4,Freeman,Virginia,2016
209,2016_9694,Larock,Christina,2016
210,2016_fa20,Boyd,Ofelia,2016
211,2016_e899,Mumm,Jamie,2016
212,2016_f8eb,Fletcher,James,2016
213,2016_3355,Peterson,Jose,2016
214,2016_6455,Neuhaus,Jessie,2016
215,2016_0b32,Martinez,Steven,2016
216,2016_13ac,White,Mina,2016
217,2016_c49a,Rodriguez,Don,2016
218,2016_ed24,Rodriguez,Beatrice,2016
219,2016_836f,Hutchinson,Blake,2016
220,2016_5c01,Sweet,Phillip,2016
221,2016_5824,Stokes,Deborah,2016
222,2016_2894,Anderson,Carolyn,2016
223,2016_9069,Westfall,Daniel,2016
224,2016_8563,Warren,William,2016
225,2016_c259,Nelson,Cecil,2016
226,2016_01ec,Hartman,Misty,2016
227,2016_8359,Sperling,Scott,2016
228,2016_dd90,Richard,Theresa,2016
229,2016_61a2,Sylvester,Susan,2016
230,2016_690c,Mazurek,Wayne,2016
231,2016_3b57,Ryan,Jennifer,2016
232,2016_edbe,Cathcart,Debra,2016
233,2016_b110,Blackwell,Patrick,2016
234,2016_d426,Anglin,Vivian,2016
235,2016_74f0,Miller,Linda,2016
236,2016_46fe,Preston,Sarah,2016
237,2016_6a45,Conrad,Melissa,2016
238,2016_e1ef,Bundren,Richard,2016
239,2016_558a,Mcalvain,Joseph,2016
240,2016_646a,Watkins,David,2016
241,2016_bc24,Johnson,Matthew,2016
242,2016_ece0,Wallen,Aaron,2016
243,2016_8cd5,Light,Karl,2016
244,2016_3d9a,Sartin,Paul,2016
245,2016_3398,Cooper,James,2016
246,2016_6053,Tresvant,Stephen,2016
247,2016_b2b3,Morris,Terry,2016
248,2016_60ab,Garcia,Angela,2016
249,2016_9f97,Warner,Kent,2016
250,2016_8069,Sanchez,Earl,2016
251,2016_d991,Goble,Leila,2016
252,2016_9898,Macedo,Nancy,2016
253,2016_f68f,Tilley,Vernon,2016
254,2016_ecbf,Irish,Anne,2016
255,2016_022f,Ferdinand,Catherine,2016
256,2016_77ce,Johnson,William,2016
257,2016_20ed,Arvan,Richard,2016
258,2016_2f4f,Halfmann,Carol,2016
259,2016_2ccf,Zielinski,Josephine,2016
260,2016_1489,Edwards,Michael,2016
261,2016_9438,Davis,Bobbie,2016
262,2016_0db2,Mitchell,Danielle,2016
263,2016_c17f,Lucero,Erin,2016
264,2016_8edb,Belka,Jennifer,2016
265,2016_d6de,Wilson,Christina,2016
266,2016_ae9f,Ivey,Laura,2016
267,2016_1df5,Palmer,James,2016
268,2016_acf7,Hale,Lena,2016
269,2016_50f3,Stanley,Brynn,2016
270,2016_f16a,Grant,Vickie,2016
271,2016_fb3d,Myers,Mike,2016
272,2016_f0fa,Stephenson,Arlene,2016
273,2016_1dcc,Moore,Heather,2016
274,2016_bba0,Heard,Gisela,2016
275,2016_6798,Mandrell,David,2016
276,2016_6b3d,Ball,Robyn,2016
277,2016_b922,Westlie,Donna,2016
278,2016_6768,Snider,James,2016
279,2016_d53e,Linton,Felicia,2016
280,2016_0d0e,Mendez,Brenda,2016
281,2016_5b40,Baker,Kimberly,2016
282,2016_a568,Hankins,Reginia,2016
283,2016_2f10,Ramos,Carrie,2016
284,2016_d576,Goode,Norma,2016
285,2016_5ba9,Hurst,Linda,2016
286,2016_b824,Jansons,Clark,2016
287,2016_40bf,Hornback,Roy,2016
288,2016_5d45,Jones,Robert,2016
289,2016_0b8b,Giordano,Lesli,2016
290,2016_deb6,Levenhagen,Michael,2016
291,2016_8e6d,Hosea,George,2016
292,2016_b8b1,Takemura,Katie,2016
293,2016_b856,Drayton,Humberto,2016
294,2016_a109,Hopson,Allison,2016
295,2016_045c,Smith,Brooke,2016
296,2016_624e,Chavez,Cory,2016
297,2016_040e,Madison,Kristi,2016
298,2016_29e2,Ramsey,Gary,2016
299,2016_8696,Lindall,Carmen,2016
300,2016_0f2b,Larson,Robert,2016
301,2016_3ac8,Sedlacek,Frank,2016
302,2016_5c38,Maddox,Monica,2016
303,2016_05fe,Fullenkamp,James,2016
304,2016_7aa0,Bennett,Carlos,2016
305,2016_4204,Woodrow,Christopher,2016
306,2016_b80d,Wiren,Lisa,2016
307,2016_d77e,Mathis,Louis,2016
308,2016_fbd6,Wright,Staci,2016
309,2016_5665,Swinger,Donnell,2016
310,2016_c264,Welch,Evelyn,2016
311,2016_427e,Sanchez,Cathy,2016
312,2016_ed4a,Tibbetts,Austin,2016
313,2016_f0b2,Bryson,Milagros,2016
314,2016_bb7c,Howard,Mikel,2016
315,2016_b32c,Janusz,Harold,2016
316,2016_9182,Lee,Gary,2016
317,2016_3173,Langley,Janet,2016
318,2016_51eb,Mason,Shawn,2016
319,2016_def5,Hurst,Jerry,2016
320,2016_5661,Castro,Adam,2016
321,2016_8e88,Edmondson,Craig,2016
322,2016_1d58,Davis,Paul,2016
323,2016_e129,Carmen,Mae,2016
324,2016_9a8c,Martin,Joseph,2016
325,2016_a66c,Briggs,Bill,2016
326,2016_3cc4,Kline,Noemi,2016
327,2016_6723,Campbell,Lucy,2016
328,2016_da39,Armbruster,Philip,2016
329,2016_707e,Placide,Bruce,2016
330,2016_0ae4,Ulatowski,Virginia,2016
331,2016_ea7d,Lanehart,Lisa,2016
332,2016_8fc3,Mason,Richard,2016
333,2016_ae70,Josephs,Ann,2016
334,2016_3488,Mathis,Eric,2016
335,2016_5c7d,Kiehl,Dorothy,2016
336,2016_03a0,Looney,Sharon,2016
337,2016_8332,Lowe,Jackie,2016
338,2016_d339,Gunn,William,2016
339,2016_9343,Kelley,Michael,2016
340,2016_052a,Sastre,Victor,2016
341,2016_bd05,Traylor,Amber,2016
342,2016_6d30,Law,Beth,2016
343,2016_be83,Campbell,Jacqueline,2016
344,2016_1da8,Williams,Tara,2016
345,2016_f743,Schaller,Gracie,2016
346,2016_32fb,Joshi,Jack,2016
347,2016_c8d7,Anderson,Barbara,2016
348,2016_4595,Avans,Gary,2016
349,2016_3082,Simila,Teresa,2016
350,2017_5c01,Jones,Patricia,2017
351,2017_022f,Neuhaus,Frankie,2017
352,2017_b922,Howard,Catherine,2017
353,2017_5c7d,Abernathy,Lillian,2017
354,2017_a109,Weaver,Deon,2017
355,2017_be83,Thomas,Daniel,2017
356,2017_d9b3,Womack,Wayne,2017
357,2017_d339,Hoggins,Annie,2017
358,2017_fbd6,Rainey,Karyn,2017
359,2017_9f97,Wannamaker,David,2017
360,2017_3ac8,Hefley,Harold,2017
361,2017_9b2d,Johnson,Billy,2017
362,2017_a5a6,Ernst,Dawn,2017
363,2017_6b3d,Skidgel,Lawrence,2017
364,2017_4204,Moya,Wallace,2017
365,2017_1489,Bean,Brigitte,2017
366,2017_bb7c,Taylor,Harry,2017
367,2017_f8eb,Frey,Vernon,2017
368,2017_707e,Mercado,Cynthia,2017
369,2017_3355,Williams,Anna,2017
370,2017_de8a,Rushing,Shay,2017
371,2017_f0fa,Stanton,Nathanial,2017
372,2017_8359,Crabill,Amanda,2017
373,2017_1d58,Gaskin,Roberto,2017
374,2017_690c,Mccoy,Victoria,2017
375,2017_6053,Obryant,Nathan,2017
376,2017_9694,Yuste,Yvette,2017
377,2017_5ba9,Madden,Donna,2017
378,2017_4595,Ellett,Jacob,2017
379,2017_74f0,Wasmund,Phillip,2017
380,2017_a66c,Jones,Norman,2017
381,2017_6723,Hoge,Curtis,2017
382,2017_e0fd,Larsen,Tommy,2017
383,2017_8e88,Wheeler,Janice,2017
384,2017_8e6d,Fleming,Ethel,2017
385,2017_edbe,Chandler,Caroline,2017
386,2017_5c38,Neang,Jason,2017
387,2017_9343,Bond,Michael,2017
388,2017_c8d7,Castro,Paul,2017
389,2017_427e,Miller,Betty,2017
390,2017_f743,Morrison,Justin,2017
391,2017_e1ef,Birge,Michael,2017
392,2017_c259,Jones,Anthony,2017
393,2017_b2b3,Hilbert,Benny,2017
394,2017_9898,Mitchell,Jeremy,2017
395,2017_d426,Coleman,Alice,2017
396,2017_2c51,Brown,Anthony,2017
397,2017_3082,Arellano,Richard,2017
398,2017_6d30,Doane,Caroline,2017
399,2017_dd90,Carson,Robert,2017
400,2017_d53e,Sullivan,Frederick,2017
401,2017_ecbf,Bown,Donald,2017
402,2017_1dcc,Hicks,Larry,2017
403,2017_5b40,Howard,John,2017
404,2017_6455,Biggs,Valerie,2017
405,2017_ed4a,Mendoza,Deborah,2017
406,2017_51eb,Castillo,Jessica,2017
407,2017_c264,Brooks,Marcos,2017
408,2017_ea7d,Conner,Teresa,2017
409,2017_d991,Branum,Lona,2017
410,2017_8edb,Weston,Joseph,2017
411,2017_bba0,Wilkins,Madeline,2017
412,2017_bc24,Ross,Gary,2017
413,2017_b856,Meeks,Angela,2017
414,2017_44d2,Sigler,Jesus,2017
415,2017_8069,Crafter,Harvey,2017
416,2017_6798,Jewell,Evelyn,2017
417,2017_ae9c,Stewart,Helen,2017
418,2017_a568,Matthews,Jimmie,2017
419,2017_a770,Schuman,Carl,2017
420,2017_b824,Reddick,Henry,2017
421,2017_0b32,Washington,John,2017
422,2017_8dc4,Caro,Alvin,2017
423,2017_e899,Hall,Lawrence,2017
424,2017_5c0a,Oliveira,Dolores,2017
425,2017_5d45,Baker,Ben,2017
426,2017_0619,Varela,Rebecca,2017
427,2017_8fc3,Snyder,Nicholas,2017
428,2017_03a0,Price,Nicholas,2017
429,2017_0ae4,Livezey,Lindsay,2017
430,2017_111f,Ward,Lucile,2017
431,2017_052a,Raines,Timothy,2017
432,2017_f16a,Caddell,Julian,2017
433,2017_ae70,Kokko,Mary,2017
434,2017_fb3d,Saltzman,Lourdes,2017
435,2017_8332,Washington,Helena,2017
436,2017_3488,Hovey,Justin,2017
437,2017_2f10,Sims,Niki,2017
438,2017_8563,Fontenot,Steven,2017
439,2017_b32c,Williams,Samantha,2017
440,2017_6768,Bailey,Kimberly,2017
441,2017_ebc0,Hicks,Leah,2017
442,2017_3398,Tanimoto,Christine,2017
443,2017_8cd5,Vaquera,Mary,2017
444,2017_2894,Bartlett,Linda,2017
445,2017_5661,Lockhart,Kathy,2017
446,2017_8696,Cordeiro,Benjamin,2017
447,2017_7686,Bouley,Paul,2017
448,2017_61a2,Do,Guadalupe,2017
449,2017_9069,Gomez,Alan,2017
450,2017_5665,Joyce,Brenda,2017
451,2017_50f3,Sheats,Geraldine,2017
452,2017_32fb,Layton,Henry,2017
453,2017_9830,Belote,Marie,2017
454,2017_2f4f,Rojas,Jason,2017
455,2017_acf7,Snow,John,2017
456,2017_e80e,Jozwick,Charles,2017
457,2017_c49a,Rosario,Barbara,2017
458,2017_040e,Satterfield,Colleen,2017
459,2017_9316,Penaloza,Jessica,2017
460,2017_deb6,Goforth,Gail,2017
461,2017_b110,Sanders,Eric,2017
462,2017_46fe,Brinkley,Lucille,2017
463,2017_646a,Delarosa,Patricia,2017
464,2017_ae9f,Merritt,Lydia,2017
465,2017_2ccf,Sallee,Richard,2017
466,2017_3cc4,Mccurry,James,2017
467,2017_def5,Armstrong,Willie,2017
468,2017_669b,Doyle,James,2017
469,2017_b80d,Reeder,Dana,2017
470,2017_9182,Driggers,Victor,2017
471,2017_0db2,Zucco,Ethel,2017
472,2017_5824,Coble,Danny,2017
473,2017_60ab,Forde,Britney,2017
474,2017_fa20,Sanchez,Lorraine,2017
475,2017_1df5,Coleman,Ana,2017
476,2017_0f2b,Yazzie,George,2017
477,2017_b8b1,Thresher,Becky,2017
478,2017_9a8c,Murray,Chris,2017
479,2017_7722,Clark,Timothy,2017
480,2017_bd05,Terrill,Sam,2017
481,2017_20ed,Kea,Lyla,2017
482,2017_da39,Proper,Bruce,2017
483,2017_c675,Curtis,Leroy,2017
484,2017_6a45,Hernandez,Henry,2017
485,2017_f68f,Edwards,Erma,2017
486,2017_3d9a,Thomas,Marion,2017
487,2017_0b8b,Wallis,Robert,2017
488,2017_05fe,Burns,Bruce,2017
489,2017_3b57,Kam,Sandra,2017
490,2017_2c65,Veno,Albert,2017
491,2017_0d0e,Stewart,Alan,2017
492,2017_c17f,Broussard,Alexander,2017
493,2017_d77e,Farver,Glen,2017
494,2017_558a,Cheney,Della,2017
495,2017_e129,Cross,Linda,2017
496,2017_d4c1,Samples,Kathleen,2017
497,2017_045c,Grap,Elizabeth,2017
498,2017_7aa0,Roberts,Andrew,2017
499,2017_d576,Simmons,Anna,2017
500,2017_d6de,Cherry,Nicole,2017
501,2017_29e2,Montoya,Barbara,2017
502,2017_01ec,Baker,Maria,2017
503,2017_1da8,Devers,Chris,2017
504,2017_836f,Jones,Andrea,2017
505,2017_13ac,Plank,Rebecca,2017
506,2017_3173,Lotthammer,Kathleen,2017
507,2017_ed24,Caballero,Mike,2017
508,2017_9797,Sarnicola,Laura,2017
509,2017_ece0,Britt,John,2017
510,2017_f0b2,Gann,Jamison,2017
511,2017_9438,Norris,Wayne,2017
512,2017_77ce,Peterson,Eric,2017
513,2017_40bf,Palmer,Troy,2017
514,2017_624e,Webster,David,2017
